date,ticker,headline,sent_score,next_day_return
2015-04-01,KEY,Dividend Champions For April 2015,,
2018-02-21,LUV,"Airline Stock Roundup: U.S. Airfares Continue to Decline, CPA & ALK in Focus",,
2019-08-01,DD,DuPont de Nemours' (DD) CEO Marc Doyle on Q2 2019 Results - Earnings Call Transcript,,
2011-10-12,RF,Bruce Berkowitz Sells Half His Regions Financial Corp. Stake,,
2015-02-09,MSI,"Today's Market: More M&A Coming, Financial Names Run Into More Trouble",,
2020-06-01,LUV,Warren Buffett: Know When to Cut Your Losses,,
2019-08-21,NEM,"Legal & General Group Plc Buys Corteva Inc, Entergy Corp, Fastenal Co, Sells DuPont de ...",,
2018-03-05,ULTA,The Vetr community has downgraded $ULTA to 4-Stars,,
2019-07-10,JPM,JPMorgan robo-adviser offers low-cost ETF portfolios - CNBC,,
2015-04-30,DTE,Xcel Energy Misses Earnings Estimates on Lower Revenues - Analyst Blog,,
2019-11-05,EW,"Allscripts (MDRX) Q3 Earnings Beat Estimates, Improve Y/Y",,
2018-01-30,NWS,Thomson Reuters approves sale of financial data business to Blackstone,,
2019-11-25,HPQ,HP dismisses Xerox's 'hostile approach',,
2020-01-20,PPG,Phosphate Conversion Coatings Market Forecast —…—…-—…—9 | Key Players – Crest ...,,
2020-03-12,BEN,Lazard's (LAZ) February AUM Declines on Lull in Equity Market,,
2017-09-07,DOV,IBD Rating Upgrades: Dover Shows Improved Technical Strength,,
2019-07-10,CSX,Loop Capital cools on CSX and Canadian Pacific,,
2014-08-12,DOV,Dover (DOV) Acquires Liquip to Strengthen Fluids Segment - Analyst Blog,,
2015-01-08,MNST,Is The Selling Done,,
2019-01-15,DHI,Will the Rally in Homebuilder ETFs Continue?,,
2019-11-07,ZTS,"Zoetis (ZTS) Beats on Earnings in Q3, Reports In-Line Sales",,
2016-04-04,INCY,Biotech Forum Daily Digest: Is Biotech On The Rebound? Medivation On The Block? Agenus In The Spotlight,,
2018-03-14,BK,Custody banks to get relief in the Crapo bill,,
2019-09-12,HAS,Glu Mobile (GLUU) Catches Eye: Stock Jumps 9.2%,,
2018-02-14,CPT,Buying Cash At A Discount,,
2020-05-14,CI,"Cobalt Capital Management Inc Buys McKesson Corp, Centene Corp, Cigna Corp, Sells WellCare ...",,
2015-07-15,MAA,Qinghai Salt Lake Industry Company Limited Resumes Trading as Discussions Continue with ...,,
2019-02-14,EXR,Extra Space Storage declares $0.86 dividend,,
2019-05-07,USB,Big banks won't touch cannabis banking bill - WSJ,,
2013-03-26,BLK,"LinkedIn, Celgene Among Top 5 Big Cap Leaders Stocks",,
2017-02-15,STZ,"Samlyn Capital, Llc Buys TD Ameritrade Holding, American Express Co, Comerica, Sells Aramark, ...",,
2019-02-21,FITB,Fifth Third (FITB) Up 1.3% Since Last Earnings Report: Can It Continue?,,
2016-05-23,TSCO,Meet The Home Depot For The Rural Set — Tractor Supply,,
2011-12-06,CLX,"Activist Filings This Week (TXI, CLX, WBMD, CMC)",,
2019-09-03,NEE,NextEra Energy and NextEra Energy Partners (NEE) Presents At Barclays CEO Energy Power Conference - Slideshow,,
2012-12-10,PANW,"Company News for December 10, 2012 - Corporate Summary",,
2016-11-12,FCX,"Profit Recession Is Over, Here Comes The Best Earnings Growth Since 2014",,
2016-09-21,HAL,"Norway oil workers go on strike, helping send crude prices higher",,
2016-03-04,DECK,How The L-Shape Pattern Can Help You Sell Short For Big Profits,,
2017-01-26,CAG,ConAgra Brands goes ex-dividend today,,
2019-05-03,DOV,"Flowserve (FLS) Q1 Earnings Beat Estimates, Improve Y/Y",,
2019-04-19,CI,"Strs Ohio Buys ARRIS International PLC, Ulta Beauty Inc, Centene Corp, Sells iShares MSCI EAFE, ...",,
2016-12-14,MCK,The Vetr community has upgraded $MCK to 4.5-Stars.,,
2014-08-21,WSM,Williams-Sonoma's West Elm Brand Widens Reach in Oklahoma - Analyst Blog,,
2019-07-25,TSCO,Tractor Supply Company raised lower end of its FY2019 guidance,,
2019-08-29,AVGO,In MINT We Trust,,
2017-02-07,EW,"Montag & Caldwell, Llc Buys UnitedHealth Group, Microsoft, Danaher, Sells Allergan PLC, CVS ...",,
2014-12-23,WSM,Will Williams-Sonoma Gift Holiday Cheer For Investors?,,
2019-10-15,JBHT,Earnings season kicks off,,
2019-10-11,FANG,Viper Energy Partners (VNOM) Prices $500M Senior Notes at Par,,
2016-10-28,HAL,Exxon Warns 4.6 Billion Barrels May Come Off Reserves Amid SEC Probe,,
2014-08-04,L,"Loews Beats on Q2 Earnings, Revenues Down on Lower Premium - Analyst Blog",,
2019-03-21,MLM,"JPMorgan picks up Vulcan, Martin Marietta Materials coverage as a bull",,
2019-01-04,PCG,PG&E -26% as Reuters reports bankruptcy filing under consideration,,
2016-10-03,CTAS,S&P Aristocrats: September Brokers See VFC Top Gainer,,
2020-02-15,HPQ,"Icahn Boosts Hertz, Cuts Freeport In Q4",,
2018-11-26,OMC,Top Holdings Of Dividend ETFs (Part 2: The Top 10 By Sector),,
2017-01-03,DOW,Will the US Economy Really Improve in —…–7?,,
2018-09-12,AVGO,Broadcom Inc. (AVGO) Stock Sinks As Market Gains: What You Should Know,,
2020-01-07,ACN,Aptiv's Autonomous Vehicles to Operate at McCarran Airport,,
2015-04-01,KMB,Kimberly-Clark Co. (KMB) Dividend Stock Analysis,,
2016-12-27,TXN,"UBS models most overweight, underweight equity holdings among actively-managed funds relative to benchmark weightings",,
2019-07-10,FAST,Fastenal declares $0.22 dividend,,
2013-10-14,ADI,INVENSENSE,,
2018-12-24,CL,Advice For Young Dividend Growth Investors,,
2019-06-19,ED,Utilities Dashboard - Update,,
2013-01-22,COF,Trading Idea: Entry Levels for Capital One,,
2018-05-11,MCK,Johnson & Johnson: Waiting On The Wave,,
2017-02-01,TXN,Has The Trump Slump Begun? - Bezek's Daily Briefing,,
2019-02-20,GILD,"Biotech Stock Roundup: ICPT Strong on NASH Drug Data, Collaborations & More",,
2013-12-08,CLX,"Weekly 52-Week High Highlight: ALL, BWA, UTX, CLX",,
2015-03-03,AZO,AutoZone +2.9% after strong quarter,,
2019-11-23,O,Dividend Champion And Contender Highlights: Week Of November 24,,
2014-07-25,AVY,"Avery Dennison (AVY) Beats Q2 Earnings by a Penny, Up Y/Y - Analyst Blog",,
2011-03-21,CTAS,Cintas Buys FACS Records Center - Analyst Blog,,
2019-11-22,SYY,How The American Dream Can Crush Your Retirement,,
2018-05-08,INTU,5 Top Stocks Showing Promise of an Earnings Beat,,
2017-01-27,KLAC,"Applied Materials, Lam Research higher amid KLA-Tencor reporting, Intel capital expenditures forecast",,
2018-04-30,MDT,Globus Medical: Innovating Beyond The Spine Market,,
2011-12-16,BXP,7 Dividend Stocks Putting Cash in Investors' Stockings,,
2019-02-04,INCY,"Nasdaq Charges Higher, Dow Up As 6 Growth Stocks Approach Buy Points",,
2013-06-04,VMC,Owens Takes Over Thermafiber - Analyst Blog,,
2019-06-21,NTRS,Stress tests put bank dividends on watch,,
2019-07-17,SJM,Mondelez Concludes Buyout of Majority Stake in Perfect Snacks,,
2020-01-20,FIS,Can Card Sales Aid Discover Financial's (DFS) Q4 Earnings?,,
2011-07-18,PH,Parker Hannifin Expands in Korea - Analyst Blog,,
2017-05-11,SPG,5—-Week Company Lows,,
2017-03-10,PSA,Public Storage goes ex-dividend on Monday,,
2019-10-07,SPG,5—-Week Company Lows,,
2015-06-25,ZTS,Zoetis jumps 12% on rumors of Valeant bid; trading halted,,
2017-02-27,DGX,Veracyte: An Ideal Medium-Term Runner With Long-Term Upside,,
2015-11-19,INCY,The Vetr community has upgraded $INCY to 5-Stars.,,
2017-02-28,CSX,"Brink's, CSX Rated Buys; TripAdvisor, First Solar Cut To Sell",,
2012-06-08,AEE,"Ex-Dividend Stocks: HP, Public Storage",,
2018-11-08,CF,Kinross (KGC) Misses Q3 Earnings and Revenues Estimates,,
2016-01-08,BDX,"Becton, Dickinson divests drug business to Fresenius Kabi",,
2020-04-30,VRTX,"Violich Capital Management, Inc. Buys Aon PLC, Mastercard Inc, JPMorgan Chase, Sells Aon PLC, ...",,
2012-06-28,VMC,Good Setup Developing in Vulcan,,
2016-11-21,MDT,Big Stock Buyback Boost Coming From Trump Tax Proposal: Goldman Sachs,,
2015-05-29,ETN,"Emerson may be top potential Peltz target, analyst says",,
2016-02-25,PANW,IBM Cements Security Standing With Redoubled Check Point Alliance,,
2017-02-02,STZ,"Wesbanco Bank Inc Buys Constellation Brands, iShares S&P 5…… Growth, Skyworks ...",,
2020-05-20,V,"ETF Battles: QQQ vs. XLK, who wins?",,
2015-03-30,FCX,Metals And Mining: Where The Wild Yields Are,,
2015-11-23,EQIX,Mario Gabelli Comments on Equinix Inc.,,
2018-11-09,GILD,Gilead's GS-9674 shows positive effect in mid-stage PSC study,,
2019-11-01,RMD,"Integer Holdings (ITGR) Beats on Q3 Earnings, Revenues Miss",,
2019-04-15,ANET,End of Tax Season Spells Good Times for Wall Street: 5 Picks,,
2017-11-02,ICE,"Intercontinental Exchange (ICE) Q3 Earnings Beat, Up Y/Y",,
2018-09-28,HAL,Ferrari Is A Strong Company - Cramer's Lightning Round (9/27/18),,
2016-06-15,COF,"Capital One Keeps Outlook Despite Delinquency Rise, Unlike Synchrony",,
2017-03-24,WDC,Stocks Open Higher As Health Care Vote Looms,,
2015-03-13,STLD,Steel Dynamics - May Have A Bumpy Ride In The Short-Term,,
2020-02-19,IT,Customer Experience Management Cem In Telecommunication Market Outlook —…—…-—…—8 ...,,
2020-02-13,PAYC,"Paycom Software Inc (PAYC) Files –…-K for the Fiscal Year Ended on December '–, —…–9",,
2017-04-06,EA,Activision Blizzard Set to Move Upward,,
2012-01-03,AVY,3M Beefs Up Office Supplies Division (Update 1),,
2018-04-18,DOV,"Old National Bancorp Buys Vanguard Value, Vanguard Short-Term Inflation-Protected Securities, ...",,
2018-10-26,MNST,Factors Likely to Influence Coca-Cola's (KO) Q3 Earnings,,
2018-07-16,ROP,Grainger (GWW) to Report Q2 Earnings: Is a Beat in Store?,,
2013-03-22,RF,Close to the 50 Day Moving Average: Regions Financial,,
2019-01-18,USB,"SunTrust (STI) Q4 Earnings Top as Revenues Rise, Costs Fall",,
2016-09-23,MTB,U.S. Bank Credit: Out Of The Firing Line?,,
2010-06-15,FAST,Stocks Near Trend Line Support: June 15,,
2019-12-12,LLY,Elanco Animal Health: Still Not Very Healthy,,
2017-11-29,STZ,Molson Coors: Entering The International Market,,
2012-04-17,EXR,"Whirlpool Corporation, Starwood Property Among Stocks Down on High Volume Tuesday",,
2015-03-18,VTR,"HCP, Brookdale to Buy 35 Private Pay Assets for $849 Million - Analyst Blog",,
2018-11-16,MCO,Here Are Warren Buffett's Top New Holdings,,
2020-03-26,LULU,Markets Stop Short Of A Third Straight Day Of Gains,,
2012-10-12,JBHT,"Stock Futures Higher After JPMorgan Beats. Stocks to Watch: AMD, AAPL, BAC, BZH, JBHT, JPM, WFC, WY",,
2011-07-21,TRV,CAT Losses Hurt Travelers - Analyst Blog,,
2019-01-23,INTC,Semi stocks move after earnings trio,,
2012-06-06,ED,5 Dividend Stocks Outyielding 'The Long Bond',,
2014-03-26,OMC,Mobile Advertising: New-Age Money Minter? - Analyst Blog,,
2016-07-12,WAT,My Favorite Health Care Stocks,,
2018-08-16,AWK,American Water Works Trying To Close In On Key Technical Measure,,
2017-01-30,PAYX,"Spectrum Management Group, Inc. Buys ARCA:SPY, ARCA:MDY, ARCA:XLI, Sells XLU, XLK, XLB",,
2018-05-26,MTB,Stocks To Watch: Powerhouse CEOs In The Limelight,,
2020-04-29,RMD,Accuray (ARAY) Earnings and Revenues Beat Estimates in Q3,,
2013-08-09,SWK,Neutral on Stanley Black & Decker - Analyst Blog,,
2014-12-09,AZO,Stock Market Today: Nasdaq Leads Charge Back,,
2016-07-11,DPZ,New CFO on the way at Domino's Pizza,,
2016-04-16,IR,"InsiderInsights.com Daily Round Up 4/15/16: SVBI, OZRK, LIFE, ERC",,
2020-01-20,SNPS,"The Zacks Analyst Blog Highlights: Apple, Applied Materials, Synopsys, Copart and State Street",,
2018-11-20,ALGN,"LEAD PLAINTIFF DEADLINE ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered ...",,
2016-10-13,AXP,How Serious Is The Dollar Threat To Dow Stocks?,,
2018-06-05,ADP,Xerox Banks on Strategic Transformation Program & Buyouts,,
2018-05-16,GILD,–… Best Dividend-Paying Stocks for the Enterprising Investor - May —…–8,,
2020-02-09,KEY,"Global Wet Tissues and Wipes Market —…—…: Business Opportunities, Current Trends, ...",,
2016-07-29,AJG,Arthur J Gallagher's (AJG) CEO Patrick Gallagher on Q2 2016 Results - Earnings Call Transcript,,
2016-08-10,DOW,SolarCity Gambles With 'Solar Roof' -- Stepping Where Dow Tripped,,
2013-01-30,TRV,"Travelers Companies, Inc. (TRV) Vice Chairman & Chief Inv Off William H Heyman sells 7,800 ...",,
2015-07-06,CI,Aetna-Humana Merger: Why Investors Are Uncertain and Wary - Stocks in the News,,
2015-06-29,BXP,"Rates tumble, but only marginal relief for REITs; utilities gain",,
2016-02-23,TXN,My New Portfolio: The 22 Stocks I Bought First,,
2018-11-12,OXY,Occidental Petro rated Overweight by Barclays as attractive 'in-betweener',,
2011-10-20,CLX,Ecolab Clinches HRM Award in China - Analyst Blog,,
2018-02-20,CLX,Collateral damage from Walmart earnings,,
2010-05-19,VRSN,Symantec to Buy VeriSign's Security Biz,,
2020-01-23,DHI,"Paycom Rallies On S&P 500 News, And Other Key Events In IBD 50",,
2019-10-29,GRMN,"Electronics Stocks' Oct 30 Earnings Roster: KLAC, TEL & More",,
2016-07-07,DOW,June Buys: The 21 Stocks Added To My Fund,,
2016-11-11,CME,CME Group chief announces retirement,,
2018-07-24,HD,Raytheon: Buy This Military Contractor For Great Total Return,,
2019-11-06,BX,"Beck Mack & Oliver Llc Buys Blackstone Group Inc, Jefferies Financial Group Inc, Charles ...",,
2012-10-05,BDX,Medtronic (MDT) Dividend Stock Analysis 2012,,
2019-10-21,GILD,Exact Sciences (EXAS) to Post Q3 Earnings: What's in Store?,,
2018-07-30,MDLZ,"34 Dividend Increases: July 23-27, 2018 (Part 2: Non-Financials)",,
2019-01-08,LOW,Lowes Companies Shows Improved Relative Strength; Still Shy Of Benchmark,,
2015-03-06,SJM,Speculating On Buffett's Next Acquisition,,
2016-06-09,REGN,The Vetr community has upgraded $REGN to 4.5-Stars.,,
2020-02-06,DIS,"Royal Bank Of Scotland Group Plc Buys Ross Stores Inc, TechnipFMC PLC, Vanguard FTSE Europe ...",,
2013-06-11,PWR,TTEK Receives Another USAID Contract - Analyst Blog,,
2015-10-30,EA,Facebook's Oculus likely to trail in virtual reality market,,
2012-07-25,KIM,Kimco Realty Bearish Signs,,
2015-09-02,MDT,Medtronic reports FQ1 results tomorrow,,
2019-06-27,BX,QEP Resources' (QEP) Stock Spikes 16% Yesterday: Here's Why,,
2019-06-03,HAS,Carnival's Shares Decline 19% in 1 Year: Can it Recover?,,
2018-06-14,WSM,Retail sales winners and losers,,
2019-03-20,GILD,Undervalued Growth and Dividend Growth in Health Technology,,
2016-03-29,MOS,"MOBI724 S.A, Wholly Owned Subsidiary of Mobi724 Global Solutions Inc. ...",,
2013-02-21,GNRC,Kors Stock Offering Shows Added Earnings Season Risk,,
2019-07-05,ULTA,"Dow Jones Falls On Strong Job Growth In June, Samsung Profit Warning",,
2012-11-08,GPC,Genuine Parts Company Reports Operating Results (10-Q),,
2016-07-27,HCA,Dr. Michael Burry —…–6 Portfolio Review Shows Several Large Gains,,
2014-10-20,MAR,"Carnival, Royal Caribbean Cruises in Focus on Ebola Fears - Analyst Blog",,
2019-03-15,ALL,ALL or PGR: Which Is the Better Value Stock Right Now?,,
2015-05-20,ADI,"Stocks Fight Back Near Break Even; Time Warner, Ambarella Surge",,
2019-07-25,DHR,"3M (MMM) Q2 Earnings and Sales Beat Estimates, Down Y/Y",,
2017-11-22,OXY,ConocoPhillips Vs. Occidental Petroleum,,
2018-04-25,MKTX,MarketAxess declares $0.42 dividend,,
2011-08-17,CINF,Cincinnati Hikes Dividend - Analyst Blog,,
2015-03-19,TMO,Oil Will Be Higher This Time Next Year - Cramer's Mad Money (3/18/15),,
2018-07-19,TRV,"Stocks Close Lower But Small Caps, These Sectors Ignore Sellers",,
2019-10-15,HUM,Humana to Provide Florida's Retirees With Medicare Plans,,
2020-04-28,VRSK,"Ardevora Asset Management LLP Buys MSCI Inc, Repligen Corp, Cadence Design Systems Inc, Sells ...",,
2016-12-19,KMX,Game Plan For The Week - Cramer's Mad Money (12/16/16),,
2019-12-05,NVR,Toll Brothers (TOL) to Report Q4 Earnings: What's in Store?,,
2015-04-17,ED,"Home Do-It-Yourselfers Can Buy Themselves A Latte, Or Build A Solid Dividend Retirement, A Buck At A Time",,
2019-12-27,GPN,Reasons Why Hold Strategy is Apt for Nasdaq (NDAQ) Stock Now,,
2020-03-13,SBAC,Sba Communications Corp (SBAC) EVP; Pres. - International Kurt L Bagwell Sold $–. ...,,
2020-03-25,CSCO,"Market Briefing for Wednesday, March 25",,
2012-04-12,NSC,"Rails Struggling To Replace King Coal (UNP, CSX, NSC, BTU, ANR)",,
2019-08-09,FICO,"Kavi Asset Management, LP Buys T-Mobile US Inc, Aramark, Centene Corp, Sells Xerox Holdings ...",,
2020-05-18,CSCO,"EP Wealth Advisors, Inc. Buys Activision Blizzard Inc, Berkshire Hathaway Inc, Starbucks Corp, ...",,
2016-02-16,RSG,Valuation Dashboard: Industrials - Update,,
2015-02-12,CI,MetLife: A Penny's Beat for Q4 Earnings; Revenues In Line - Analyst Blog,,
2012-06-11,DUK,"Stocks Hit 52-Week Highs: Target, Verizon, Whole Foods",,
2014-05-03,TAP,3 Brewers to Help Your Portfolio Grow,,
2018-01-30,TRGP,T. Boone Pickens: A Man With a Plan,,
2017-11-17,DHI,Big session for homebuilders after fast housing starts print,,
2018-07-16,LYB,Dividend Sensei's Portfolio Update 43: The 3 Essential Things All Investors Need To Get Rich,,
2013-08-01,CMS,TECO Energy Misses Earnings Estimates - Analyst Blog,,
2016-11-03,AME,Ametek declares $0.09 dividend,,
2014-07-23,IDXX,Intuitive Surgical Bottom Seen As Procedures Rise,,
2017-09-15,FCX,Stocks Flashing Renewed Technical Strength: Freeport McMoRan,,
2019-10-28,IR,Ingersoll-Rand Q3 2019 Earnings Preview,,
2016-12-08,EW,"Large-cap stocks with the most upside next year, according to sell-side",,
2012-06-28,CNC,Obamacare Survives Supreme Court (Update 1),,
2016-06-25,CSX,June 26th Inauguration For The Expanded Panama Canal Is Set,,
2020-04-20,SNPS,What's in Store for STMicroelectronics' (STM) Q1 Earnings?,,
2015-12-03,BDX,"Ladies And Gentlemen, Here Is My Dividend Growth Portfolio",,
